Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
97000;0;0;0;0;0;0;0;42000;45000;2019;Man;18-30;26
33000;0;0;0;0;0;0;0;27000;0;2008;Man;41-50;2
571000;4000;4000;0;0;0;0;0;159000;270000;2017;Man;51-60;10
181000;13000;0;0;0;0;0;13000;166000;13000;2020;Man;18-30;27
66000;0;0;0;0;0;0;0;0;66000;2021;Kvinna;41-50;4
0;0;0;0;0;0;0;0;0;0;2020;Man;18-30;0
123000;0;0;0;0;0;0;0;47000;71000;2017;Man;18-30;12
0;0;0;0;0;0;0;0;0;0;2007;Kvinna;71-80;0
81000;0;0;0;0;0;0;0;77000;4000;2019;Man;31-40;22
2875000;5000;0;0;0;0;0;5000;3822000;38000;2010;Man;31-40;29
54000;0;0;0;0;0;0;0;53000;0;2016;Man;18-30;23
299000;0;0;0;0;0;0;0;255000;37000;2020;Man;51-60;20
211000;0;0;0;0;0;0;0;200000;7000;2020;Man;41-50;24
265000;0;0;0;0;0;0;0;0;265000;2020;Man;41-50;22
282000;0;0;0;0;0;0;0;41000;133000;2019;Man;31-40;16
10000;0;0;0;0;0;0;0;0;0;2016;Kvinna;18-30;0
13000;0;0;0;0;0;0;0;13000;0;2017;Kvinna;18-30;0
795000;0;0;0;0;0;0;0;74000;1026000;2010;Man;18-30;30
3000;0;0;0;0;0;0;0;2000;0;2021;Kvinna;51-60;6
493000;0;0;0;0;0;0;0;44000;447000;2010;Kvinna;18-30;2
33000;0;0;0;0;0;0;0;0;20000;2015;Kvinna;18-30;1
10000;0;0;0;0;0;0;0;0;9000;2015;Kvinna;51-60;0
0;0;0;0;0;0;0;0;0;0;2020;Kvinna;18-30;0
416000;0;0;0;0;0;0;0;168000;246000;2017;Man;71-80;0
3000;0;0;0;0;0;0;0;0;0;2021;Kvinna;51-60;0
38000;0;0;0;0;0;0;0;22000;0;2020;Kvinna;18-30;29
24000;24000;0;0;24000;0;0;0;0;24000;2021;Kvinna;18-30;6
33000;0;0;0;0;0;0;0;32000;0;2018;Kvinna;31-40;0
7000;0;0;0;0;0;0;0;7000;0;2018;Man;51-60;17
3000;0;0;0;0;0;0;0;2000;1000;2020;Kvinna;18-30;4
213000;0;0;0;0;0;0;0;213000;0;2020;Man;31-40;3
7000;0;0;0;0;0;0;0;0;7000;2020;Kvinna;51-60;0
7721000;0;0;0;0;0;0;0;7603000;67000;2007;Man;51-60;25
0;0;0;0;0;0;0;0;0;0;2016;Man;18-30;0
102000;0;0;0;0;0;0;0;78000;25000;2021;Kvinna;31-40;25
1821000;0;0;0;0;0;0;0;1756000;14000;2019;Man;41-50;19
163000;0;0;0;0;0;0;0;15000;110000;2018;Kvinna;18-30;5
22000;0;0;0;0;0;0;0;22000;0;2021;Kvinna;0-10;1
1042000;182000;0;0;0;0;0;182000;0;1042000;2019;Man;51-60;6
34000;19000;0;0;0;0;0;19000;15000;19000;2000;Man;41-50;4
78000;0;0;0;0;0;0;0;78000;0;2020;Man;18-30;13
41000;0;0;0;0;0;0;0;0;39000;2020;Kvinna;31-40;0
16000;0;0;0;0;0;0;0;16000;0;2020;Man;18-30;19
0;0;0;0;0;0;0;0;0;0;2017;Kvinna;31-40;0
24000;0;0;0;0;0;0;0;22000;0;2017;Man;41-50;15
226000;0;0;0;0;0;0;0;210000;13000;2018;Kvinna;51-60;24
151000;0;0;0;0;0;0;0;132000;0;2020;Man;41-50;21
